,User review,Review date,Star review,Text length,Has media,Has answer
0,"Все работает,отличный пылесос",2025-03-14,5,29,0,1
1,"Достоинства: Упакован хорошо, спасибо  продавцу",2025-03-14,5,46,0,1
2,"Достоинства: Маленький, компактный за такие деньги норм, в машине еще не пробовали, но по дому норм.",2025-03-14,5,99,0,1
3,"Достоинства: Маленький и мощный, ещё и сумка есть",2025-03-13,5,48,0,1
4,"Пылесос просто огонь, рекомендую продовца, спасибо за подарок",2025-03-12,5,61,0,1
5,"Достоинства: Пылесос супер, рекомендую к покупке.",2025-03-12,5,48,0,1
6,"Достоинства: Хороший пылесос, упакован был в коробке , комплектация полная, но сделал возврат, выбрал другой",2025-03-12,5,107,0,1
7,Достоинства: очень хороший пылесос,2025-03-12,5,33,0,1
8,"Достоинства: Покупала мужу на подарок, доволен",2025-03-10,5,45,0,1
9,"Достоинства: Испытали дома, забирает пыль, мелкий керамзит.\nНедостатки: Плохо держится трубка\nКомментарий: Пришёл в коробке. Комплектация полная. В деле очень понравился. Заряжается быстро.",2025-03-09,5,186,0,1
10,"Достоинства: Пылесос отличный,мусор убирает на ура! Спасибо продавцу!\nНедостатки: Все так!",2025-03-09,5,88,0,1
11,"Достоинства: Всё пришло быстро, работает и комплектно. Спасибо",2025-03-09,5,61,1,1
12,Достоинства: Все понравилось \nВсе супер советую\nНедостатки: Нет,2025-03-08,5,61,0,1
13,"Нормальный пылесос. Проверил по таймеру - 20 минут после полной зарядки. Убирать в салоне а/м - самое то, если сразу после перевозки, ну или крошки со стола, волосы в ванной. Делать уборку в квартире - сразу нет.",2025-03-07,5,212,0,1
14,Достоинства: Работает на ура,2025-03-07,5,27,0,1
15,Достоинства: Всё работает маленький по мере мощный! С домашним пылесосом не сравнивать! Спасибо продавцу,2025-03-07,5,103,1,1
16,Достоинства: Все работает\nНедостатки: Не доложили щетку не приятно,2025-03-06,3,64,0,1
17,"Достоинства: Крутой пылесос. За такую сумму вообще находка. Покупала мужу для машины но уже опробовала на диване. Кошачью шерсть влет убирает. Спасибо огромное. И отдельное спасибо продавцу за наклеички, дочка будет в восторге. Порадовало и то что очень быстрая доставка. Вообщем все супер. Больших вам продаж.",2025-03-05,5,309,0,1
18,"Недостатки: Чехол разодран. Одна насадка с переходником не входит, велика для пылесоса.",2025-03-05,1,86,0,0
19,"Достоинства: Пылесос понравился. Упаковка хорошая, положили подарочек 😊\nМощность соответствует заявленной. Лёгкий, в руке держать удобно. Доставка быстрая. Спасибо продавцу.",2025-03-04,5,172,1,1
20,"Пришёл не рабочий, не заряжается совсем. Брат остался без подарка(",2025-03-04,1,66,0,1
21,Достоинства: Комплектация\nНедостатки: Слабенький\nКомментарий: Собирать крошки после ребенка пойдет),2025-03-04,4,96,0,1
22,Достоинства: Все супер\nНедостатки: Все ок\nКомментарий: Всё работает . Спасибо за подарок 🤗,2025-03-04,5,87,1,1
23,"Достоинства: Мощности хватает для уборки автосалона, небольшой точечной уборки дома, всасывает пыль и мелкий мусор отлично.\nКомментарий: Хороший компактный пылесос, не хлипкий, насадки все пригодились. В бумажной инструкции указаны другие насадки, но в карточке товара на ВБ всё чётко:  что указано, то и пришло. Зарядки хватает на то, чтобы сделать уборку в автосалоне, заряжается сам пылесос недолго. \nСпасибо за наклейки в подарок. : ) Дети оценили.",2025-03-04,5,448,0,1
24,"Достоинства: Лёгкий, компактный, количество насадок.\nКомментарий: Хороший пылесос, со своей задачей справляется! Хорошая мощность для такого малыша! Покупкой довольна! Рекомендую товар и продавца!",2025-03-03,5,194,0,1
25,Достоинства: Класс,2025-03-02,5,17,0,1
26,муж оценил😁,2025-03-02,5,11,0,1
27,Достоинства: Хорошая вещь,2025-03-02,5,24,0,1
28,"Хороший, недорогой и очень нужный ,,помощник,,. упаковано в коробочку. Комплект полный. Доставка быстрая, что тоже радует. Рекомендую. 👍👍👍",2025-03-02,5,138,0,1
29,Достоинства: Купила мужу на подарок в машину. Очень доволен. Рекомендую к покупке,2025-02-28,5,80,0,1
30,"Достоинства: Все на месте,доставка очень быстрая,пылесос работает,доступная цена\nНедостатки: Пока не заметила никаких недостатков,надеюсь и дальше не замечу\nКомментарий: Брала на подарок,все понравилось,в подарок положили милые наклейки,мелочь но приятно как говорится😅 Пылесос работает,благодарю за доступную цену и за такую быструю доставку♥️",2025-02-26,5,341,0,1
31,Достоинства: Отличный пылесос. С задачами справился. Моется легко. Заряжается,2025-02-24,5,76,1,1
32,"Достоинства: хорошо выполняет свою работу,положили в подарок милые наклейки,\nКомментарий: брала в подарок парню,понравилось",2025-02-24,5,121,0,1
33,"Достоинства: Пылесос достаточно мощный, все работает.",2025-02-23,5,52,0,1
34,"Достоинства: Хороший пылесос для авто,этот на подарок,до этого такой же себе взял",2025-02-22,5,80,1,1
35,Достоинства: Хорошая комплектация\nНедостатки: Слабоват (( а так норм\nКомментарий: Спасибо,2025-02-22,5,86,0,1
36,Достоинства: Хороший пылесос\nКомментарий: Рекомендую,2025-02-08,5,50,0,1
37,Очень слабый,2025-01-14,3,12,0,1
38,"Мужу подарок понравился, ему батареи хватает на 1 уборку, но мне в моей убраться не хватает 😂 А так супер 👌",2024-07-04,5,107,0,1
39,"Отличный пылесос, работает , пришёл всё в комплекте, сосет не очень мощно, но собрать мусор в машине самое то",2024-06-26,5,109,0,1
40,"Вроде норм, отцу понравилось",2024-06-17,5,28,0,1
41,"Получил, зарядил зарядкой от телефона, работает.\nПришлось повозится с двумя штуцерами от шланга. В наборе инструментов лежала какая-то трубочка, не понял для чего она. Потом посмотрел в интернете:  это два штуцера на гибкий шланг. Сам гибкий шланг -  ***  помочь в уборке не может, мотляется в стороны. Если только не примотать к нему какой-нибудь стержень или палку.\nКроме этого, выяснил, что за входным  отверстием есть такая круглая резинка, играющая роль клапана. От экспериментов она у меня отвалилась, после чего пылесос перестал всасывать что бы то ни было, даже пух. Так что эта резинка - самая главная деталь этого пылесоса. Восстановил её на месте - и всё заработало.\nВ целом пылесос тянет неплохо - со стола, с пола, с полок. Жидкость не пробовал. Щёткой хорошо стирать пыль с мебели вместо тряпки.",2024-06-09,5,808,0,1
42,Собирает мелкие и легкие мусоры,2024-04-19,3,31,0,1
43,Тянет отлично,2024-04-18,5,13,0,1
44,Прошëл вовремя. Комплект полный. В работе слабоват. На полу в авто мусор собирает не очень хорошо.,2024-03-28,3,98,0,1
45,Всё работает,2024-02-23,5,12,0,1
46,"Брали на подарок. Брату понравился, говорит что достаточно мощный.",2024-02-18,5,66,0,1
47,Мужу понравился,2024-02-08,5,15,0,1
48,Все работает,2024-02-05,5,12,0,1
49,"Еле тянет, какой в нем смысл?(",2024-01-30,1,30,0,1
50,Отлично. Что и хотела. Заказывала для дома.,2024-01-30,5,43,0,1
51,Очень слабый,2024-01-17,3,12,0,1
52,"Ужасное качество товара.... поработал один раз,и перестал. Думала,может разрядился- но увы....полдня заряжался и без толку. Деньги на ветер,притом,что пылесос практически новый....",2024-01-15,1,180,0,1
53,"Не плохой, но слабоват.",2024-01-11,4,23,0,1
54,"Для своей цены, работает очень хорошо. Крошки, мармеладки и прочую мелочь захватывает, чистка несложная",2024-01-06,5,103,0,1
55,Спасибо за качественный товар!,2024-01-04,5,30,0,1
56,👍,2023-12-30,5,1,0,1
57,"Так то хорош ,но я надеялась что будет помощнее",2023-12-18,5,47,0,1
58,"Пылесос не плохой. Мелкий мусор хорошо всасывает, но мелкие камушки не втягивает. Насадки очень удобные",2023-12-17,5,103,0,1
59,"Купила мужу в подарок. Муж доволен, внук ещё больше рад. Пылесосит всё.",2023-12-14,5,71,0,1
60,Супер 👍,2023-12-10,5,7,0,1
61,Мне очень понравился компактный удобный.Не шумный   Рекомендую,2023-12-10,5,62,0,1
62,Мне понравился.,2023-12-09,5,15,0,1
63,"Забрала пылесос оценка 5 звезд, только за то что был доставлен в целом состоянии без колов, царапин в идеальном состоянии, в работе как проявит покажет время, пока я довольна покупкой.",2023-12-08,5,184,0,1
64,Слабоват. Но за эти деньги нормально. Крошки и песок от собак соберёт,2023-12-07,4,69,0,1
65,"Сначала меня одолевали сомнения когда я увидела этот пылесос.. Но на удивление работает хорошо, пришлет целым, я счастлива",2023-12-05,5,122,0,1
66,"Хорошая мощность,с ковролин в авто все собирает,даже мелкие камешки.Удобно держать и насадки функциональные.У кого дети,тот знает,что после них всегда есть что убрать,а на мойку каждый день не будешь ездить.Рекомендую товар и поставщика.",2023-12-01,5,237,0,1
67,Норм пылесос. Жрёт почти всё.,2023-12-01,5,29,0,1
68,"Проверила-все как и нарисовано, работает как надо. Я довольна. Всё в сумке, удобно.",2023-11-30,5,83,1,1
69,Слабый пылесос,2023-11-30,1,14,0,1
70,"Выглядит не плохо, но очень слабый, возврат.",2023-11-30,3,44,0,1
71,"Пока всё нравится,как дальше будет работать посмотрим 👌",2023-11-27,5,55,0,1
72,"Взяла для дома, очень удобно, компактный. Заряжается быстро. Мусор собирает хорошо.",2023-11-27,5,83,0,1
73,Отличный пылесос.Советую!,2023-11-27,5,25,0,1
74,"Просто божественный, для локальной уборки на ура подходит,пыль и мелкий мусор хорошо собирает",2023-11-26,5,93,0,1
75,Слабенький,2023-11-25,4,10,0,1
76,"Очень долго выбирала пылесос на сайте, в итоге выбрала этот пылесос и у этого продавца и не пожалела. Пылесос для своих размеров очень хороший, крошки засасывает отлично, пришел в новой коробке со всеми принадлежностями. Кому нужен такой мини пылесос для уборки пыли и мелких крошек рекомендую. Спасибо так же отзывам, которые оставляют покупатели, очень помогли в выборе данной модели.",2023-11-23,5,386,1,1
77,"За эту цену отличный помощник, как в машине, так и дома. \nМелкий мусор, крошки, пух и т. д. \nДля быстрой уборки самое то.",2023-11-23,5,121,0,1
78,"Отличный пылесос, мощность хорошая",2023-11-22,5,34,0,1
79,"Купил себе пылесос в машину,чтобы поддерживать чистоту в своей «ласточке».Мощный аппарат скажу я вам.Насадки супер-можно пропылесосить самые труднодоступные места.Короче,рекомендую от души.",2023-11-21,5,189,0,1
80,"Про 23000Па в характеристике вообще ни чего не сказано ( пиар-ход) \nПыль втягивает ,кусочек сухого листа тоже, а камушек размером со спичечную головку подобрать не может.",2023-11-21,4,170,1,1
81,"Классный пылесос ,покупкой довольна",2023-11-19,5,35,0,1
82,Очень хороший.мне нравиться.,2023-11-19,5,28,0,1
83,"Очень хороший аппарат. Покупали для дома. На небольших площадях то что надо. Только, вот, подскажите:  как использовать те насадки, которые отдельно сфотографированы? Спасибо!",2023-11-19,5,174,1,1
84,"Взял в машину и доволен как слон. Очень мощный. Скоро у друга день рождения, хочу и ему такой задарить",2023-11-19,5,102,1,1
85,Слабоват,2023-11-19,4,8,0,1
86,"Вообще купила этот компактный пылесос Мужу в подарок - чтобы он мог более бюджетно поддерживать порядок в авто. Ну и конечно попробовала его и в домашних условиях. Супер удобная и мощная штука, скажу я Вам.Прям хорошо так отпылесосила диван в самых труднодоступных местах, и места постоянного обитания питомца также избавила от шерсти. Короче зачетная вещица не только для авто, но и для дома. Спасибо продавцу.",2023-11-15,5,411,1,1
87,"Купила пылесос себе домой, сосёт насмерть. Очень удобно убирать с подоконников, точечно, после детских игр. Без всяких проводов. Муж брал убираться в машине, тоже доволен",2023-11-15,5,170,1,1
88,"Практичный пылесос , для уборки пыли в неудобных местах .",2023-11-13,5,57,1,1
89,"Брала мужу на подарок в машину, ему понравился, сказал, что удобный) Потом еще попробовала его дома и поняла, что он хорошо подходит для мелкой уборки, особенно в труднодоступных местах. Порадовало, что в комплекте есть много разных насадок)",2023-11-12,5,241,1,1
